ID,Title,Audience,Type,Product Area,Surface,Owner,Status,Review Cycle,AI Eligible,Summary,Body,Keywords,CTA URL,CTA Title,Related IDs,Notes
H001,How to find events,public,guide,discovery,help_centre,content_team,draft,90_days,yes,Discover events near you or online,"Start on the homepage and browse featured events, categories, and upcoming dates. You can search by keyword, filter by location or date, and explore different event types. When something stands out, open the event to see full details before booking.",events discover search,,,H002,H007
H002,How to buy tickets,public,guide,checkout,help_centre,content_team,draft,90_days,yes,Buy tickets in a few simple steps,"Open the event page, choose your ticket type, select quantity, enter your details, and complete checkout. After booking, you will receive confirmation and ticket details by email.",tickets checkout booking,,,H003,H007
H003,Refunds explained,public,faq,refunds,help_centre,legal_team,draft,90_days,yes,Understand how refunds work,"Each event sets its own refund policy. Check the event page for conditions and cut-off times. If you need help, contact the organiser first or reach out to MEL support.",refunds policy,,,H002,H008
H004,Accessibility at events,public,policy,trust,help_centre,ops_team,draft,180_days,yes,Accessibility information for events,"Event pages may include accessibility details such as wheelchair access or hearing support. If unsure, contact the organiser before booking.",accessibility events,,,,
H005,Creating an account,public,guide,auth,help_centre,product_team,draft,180_days,yes,Create your account quickly,"Click sign up, enter your details, and confirm your email. An account lets you manage bookings and track events.",account signup,,,,
H006,Resetting your password,public,faq,auth,help_centre,product_team,draft,180_days,yes,Reset your password easily,"Use the forgot password option, enter your email, and follow the reset link sent to your inbox.",password reset,,,,
H007,What happens after booking,public,guide,checkout,help_centre,content_team,draft,90_days,yes,What to expect after booking,After booking you receive confirmation and ticket details. Check event time and location before attending.,booking confirmation,,,H002,
H008,Contacting support,public,guide,support,help_centre,ops_team,draft,90_days,yes,How to get help,Check the event page first. Contact the organiser for event issues or MEL support for platform help.,support help,,,,
H009,How to save events,public,guide,discovery,help_centre,content_team,draft,90_days,yes,Save events for later,Use your account to save events you are interested in so you can find them easily later.,save events,,,,
H010,Using filters to find events,public,guide,discovery,help_centre,content_team,draft,90_days,yes,Filter events quickly,"Use filters like date, location, and category to narrow down your search and find the right event.",filters search,,,,
H011,Adding events to your calendar,public,guide,checkout,help_centre,content_team,draft,90_days,yes,Add events to your calendar,"After booking, add the event to your calendar to avoid missing it.",calendar events,,,,
H012,Checking event details before booking,public,guide,checkout,help_centre,content_team,draft,90_days,yes,Review event details,"Always check time, location, and refund policy before booking.",event details,,,,
H013,Understanding ticket types,public,guide,checkout,help_centre,content_team,draft,90_days,yes,Different ticket options,"Events may offer general, early bird, or VIP tickets. Choose the option that suits you.",tickets types,,,,
H014,Booking multiple tickets,public,guide,checkout,help_centre,content_team,draft,90_days,yes,Book for a group,Select the number of tickets during checkout. Make sure details are correct for all attendees.,group booking,,,,
H015,What to bring to an event,public,guide,events,help_centre,content_team,draft,90_days,yes,Prepare for your event,"Bring your ticket, check entry requirements, and arrive on time.",event prep,,,,
,,,,,,,,,,,,,,,,
V001,Getting started as an organiser,vendor,guide,onboarding,help_centre,product_team,draft,60_days,yes,Start organising events,Click create event and follow the steps to set up your first event.,organiser start,,,,
V002,How to create an event,vendor,guide,event_wizard,inline,product_team,draft,60_days,yes,Create your event,"Enter name, time, location, and description, then publish.",event create,,,V003,
V003,Setting up tickets,vendor,guide,ticketing,inline,product_team,draft,60_days,yes,Create ticket options,Add free or paid tickets with pricing and limits.,tickets setup,,,,
V004,Managing attendees,vendor,guide,dashboard,vendor_console,product_team,draft,60_days,yes,Track attendees,View and export attendee lists from your dashboard.,attendees manage,,,,
V005,Payouts and fees,vendor,faq,finance,help_centre,finance_team,draft,60_days,yes,Payments and fees,Payments are processed securely and paid out to your account.,payouts fees,,,,
V006,Editing your event,vendor,guide,event_management,vendor_console,product_team,draft,60_days,yes,Edit event details,Update your event information anytime before it starts.,edit event,,,,
V007,Event visibility and promotion,vendor,guide,growth,vendor_console,product_team,draft,60_days,yes,Promote your event,Use clear titles and share your event to increase visibility.,promotion,,,,
V008,Handling refunds as an organiser,vendor,guide,refunds,vendor_console,ops_team,draft,60_days,yes,Manage refunds,Follow your event policy when handling refund requests.,refunds organiser,,,,
V009,Choosing event categories,vendor,guide,event_setup,inline,product_team,draft,60_days,yes,Pick the right category,Choose categories that match your event to improve discovery.,categories,,,,
V010,Writing a strong event description,vendor,guide,event_setup,inline,product_team,draft,60_days,yes,Improve your description,Write clear and engaging descriptions to attract attendees.,description,,,,
V011,Setting event capacity,vendor,guide,ticketing,inline,product_team,draft,60_days,yes,Manage capacity,Set limits to control attendance and avoid overbooking.,capacity,,,,
V012,Using images for your event,vendor,guide,event_setup,inline,product_team,draft,60_days,yes,Add visuals,Upload clear images to make your event more appealing.,images,,,,
V013,Tracking event performance,vendor,guide,analytics,vendor_console,product_team,draft,60_days,yes,Monitor performance,Use dashboard insights to track bookings and engagement.,analytics,,,,
V014,Updating ticket availability,vendor,guide,ticketing,vendor_console,product_team,draft,60_days,yes,Adjust ticket limits,Update quantities or pricing if needed before the event.,tickets update,,,,
